x,y
477765.1982128283,656.021
477765.2017150121,656.745
477765.20463703177,658.552
477765.20756182255,662.126
477765.21107997996,662.558
477765.21430860844,661.009
477765.21461363893,660.427
477765.2172323308,660.782
477765.22074974334,662.473
477765.2236567818,660.562
477765.22747578303,656.931
477765.2277813069,656.453
477765.2309944463,656.337
477765.2312996618,655.442
477765.23390248325,655.463
477765.2342080057,655.233
477765.23742100404,654.573
477765.23772619886,654.513
477765.24063312093,654.847
477765.2409383338,654.382
477765.244762996,652.347
477765.2450684956,652.26
477765.2482823554,653.014
477765.2485879026,652.836
477765.25238966657,653.965
477765.25269518583,653.734
477765.2556032558,653.563
477765.2591216401,653.732
477765.26202864177,653.744
477765.26554673543,655.262
477765.265851959,655.633
477765.2661734613,655.97
477765.26875342603,655.926
477765.27227169054,654.77
477765.2757897173,654.348
477765.27932584047,653.759
477765.28284584713,653.458
477765.2866701383,651.697
477765.2869758023,651.767
477765.29018930055,652.537
477765.2904945214,652.342
477765.2937085065,653.7
477765.2940159318,654.051
477765.296616342,653.64
477765.2998283841,653.646
477765.30013355997,653.548
477765.30395647127,653.537
477765.3042616969,653.829
477765.3074759783,653.708
477765.30778128136,653.939
477765.3109949457,654.75
477765.31130048394,654.66
477765.3148196541,655.905
477765.31774312304,654.671
477765.32003872015,654.624
477765.3203438853,654.854
477765.32296252943,655.871
477765.3232679982,656.186
477765.32678548596,656.301
477765.32970768545,656.088
477765.3326150769,655.665
477765.3355392958,657.1
477765.33875419205,658.42
477765.3390597201,658.408
477765.3416639185,659.503
477765.3445713744,659.472
477765.3474934125,659.128
477765.35011048603,659.318
477765.35041568265,659.888
477765.35362734826,661.935
477765.3539325201,662.293
477765.35714389605,659.108
477765.35744910117,659.442
477765.36127140245,658.421
477765.3615882781,657.688
477765.3644834406,658.269
477765.36478859844,657.735
477765.3680010042,657.457
477765.36830649164,656.944
477765.37151902105,653.778
477765.37182450853,653.26
477765.37564844295,651.239
477765.37595396186,650.308
477765.3788619148,650.074
477765.38238004316,650.59
477765.38528731134,650.907
477765.38849911053,651.647
477765.3920185298,651.361
477765.3949439542,651.413
477765.3984621371,652.904
477765.40258502116,654.359
477765.4057990603,654.611
477765.406104258,654.29
477765.40931712004,654.773
477765.4096223518,654.642
477765.4122246223,655.097
477765.41543783253,655.022
477765.41574304766,655.68
477765.41895563743,656.408
477765.4192611059,655.879
477765.4218644631,654.515
477765.4221696309,654.109
477765.4253817961,652.646
477765.42568697646,652.818
477765.4285943042,652.2
477765.43150187883,652.305
477765.43180703936,652.072
477765.43440884433,652.913
477765.4347143768,652.944
477765.4373311849,653.356
477765.4376364477,653.212
477765.4411564666,652.568
477765.44406321604,652.689
477765.4475816761,653.914
477765.4505042571,654.267
477765.4537329797,652.819
477765.45664059353,652.513
477765.4595641114,652.708
477765.463061469,652.518
477765.46627437224,653.689
477765.4665806752,653.717
477765.4697964581,653.866
477765.4701016331,653.591
477765.4739272131,651.8
477765.47423269786,652.19
477765.4774624076,652.269
477765.4777747809,653.327
477765.48128074466,656.327
477765.48158603435,656.033
477765.48479953833,653.695
477765.48510508623,653.501
477765.48831815476,656.063
477765.48862340883,656.214
477765.4918535997,661.083
477765.49215886806,662.78
477765.49537319894,659.625
477765.4956786709,660.099
477765.49919714837,657.249
477765.50212003157,652.807
477765.5056391161,647.558
477765.5085456306,646.668
477765.5123688324,644.323
477765.51269028895,644.051
477765.5164976097,643.073
477765.520616181,644.381
477765.5235402047,645.327
477765.5264631888,642.118
477765.53087542386,640.124
477765.5311809045,640.087
477765.5343935388,639.919
477765.53469906806,640.386
477765.5379125147,639.571
477765.53821774345,639.668
477765.5414300673,639.51
477765.54173525644,640.022
477765.54525382933,640.846
477765.5487571803,641.711
477765.54906268854,640.76
477765.55166568625,640.306
477765.5519711665,640.428
477765.5557951736,638.994
477765.55610071117,639.027
477765.55961986526,639.391
477765.56313936337,640.239
477765.56665994716,640.933
477765.5701792913,641.977
