x,y
1719436945.2622604,385.189
1719436946.3491952,385.435
1719436959.851333,386.535
1719436960.9384513,386.75
1719436975.5297723,385.223
1719436976.6165628,384.892
1719436987.945377,387.032
1719437000.4150546,389.567
1719437009.6239002,389.152
1719437019.8661764,391.793
1719437030.1088672,391.864
1719437031.1958697,392.481
1719437043.61206,394.52
1719437053.854385,396.409
1719437054.941319,396.391
1719437065.1836717,395.238
1719437077.6524825,396.788
1719437078.7394056,397.184
1719437090.0692828,398.557
1719437101.3989942,398.555
1719437102.4859717,398.642
1719437115.98855,399.378
1719437128.3836951,400.162
1719437137.5449464,400.6
1719437149.9612842,401.634
1719437158.136933,402.836
1719437159.2239437,403.024
1719437169.4661336,402.657
1719437181.8819594,405.955
1719437182.9688585,405.921
1719437195.3911376,405.646
1719437196.4781578,405.955
1719437205.6332932,407.133
1719437206.720227,406.987
1719437218.0502088,407.07
1719437231.5548043,410.141
1719437232.641761,410.154
1719437243.9705453,410.263
1719437254.2129214,409.902
1719437265.5962436,410.944
1719437275.892125,411.536
1719437285.0489075,412.482
1719437297.4645925,413.321
1719437309.9342942,415.557
1719437311.0214047,415.156
1719437321.3177133,415.533
1719437322.4047632,415.878
1719437331.5619156,416.801
1719437332.6488202,416.902
1719437344.0318232,418.507
1719437355.3613446,418.453
1719437356.448288,418.521
1719437365.603816,418.45
1719437378.0201008,418.874
1719437391.4842114,417.712
1719437403.9003353,417.295
1719437415.2293837,417.427
1719437425.4714105,416.013
1719437426.5584502,416.59
1719437435.7136686,416.31
1719437436.8007686,417.223
1719437447.0426018,418.384
1719437448.1297493,419.197
1719437459.4583275,419.573
1719437460.5455134,418.842
1719437471.928422,417.127
1719437481.083906,416.839
1719437482.1709518,416.329
1719437493.500192,417.489
1719437507.0053215,420.604
1719437508.092142,418.979
1719437519.423442,421.128
1719437534.0133832,422.569
1719437545.3431191,419.375
1719437553.4121275,418.872
1719437554.4991815,418.771
1719437564.741898,420.24
1719437575.0413177,419.351
1719437576.1283617,419.459
1719437585.2844262,419.763
1719437586.371204,420.573
1719437598.78693,421.42
1719437599.873945,421.221
1719437613.376582,422.581
1719437614.463704,422.365
1719437623.619923,422.536
1719437634.9488163,421.716
1719437636.0554898,422.233
1719437649.4740102,421.816
1719437659.823902,424.095
1719437660.910916,423.164
1719437673.3268049,425.502
1719437683.622448,425.192
1719437684.709292,425.446
1719437694.953935,426.456
1719437703.0235283,425.608
1719437704.1105745,427.038
1719437715.4403014,426.441
1719437716.5272162,426.865
1719437731.1192925,426.965
1719437732.206175,426.155
1719437745.710127,427.112
1719437746.79699,427.254
1719437760.3011858,429.006
1719437771.630676,427.732
1719437784.0457,427.895
1719437794.3415926,427.589
1719437795.4284494,428.136
1719437805.6714702,428.832
1719437815.9148262,429.535
1719437817.0018933,429.668
1719437829.4176924,430.719
1719437843.940876,432.137
1719437845.0278082,432.225
1719437856.3573334,433.114
1719437857.4443,432.362
1719437869.8598137,435.991
1719437870.9468627,436.427
1719437882.3297813,435.388
1719437883.456148,436.191
1719437892.5724642,437.866
1719437906.0746744,438.079
1719437918.491101,439.316
1719437928.734025,438.262
1719437929.8211968,438.779
1719437942.2389948,437.956
1719437950.361546,439.516
1719437951.448382,440.533
1719437961.6920204,439.256
1719437976.281639,437.582
1719437977.36871,437.387
1719437988.6982431,438.911
1719437989.7851512,438.845
1719438002.201231,440.023
1719438003.288272,440.504
1719438014.617809,440.769
1719438027.0338562,441.369
1719438040.520022,438.614
1719438050.762252,439.178
1719438062.146631,439.121
1719438074.5636394,439.133
1719438084.8061347,439.757
1719438085.893189,439.655
1719438096.1357677,440.922
1719438108.6075585,440.541
1719438109.694512,440.503
1719438118.9035356,441.407
1719438120.0164912,441.2
1719438130.2333689,439.158
1719438131.3203423,439.937
1719438144.8255663,440.648
1719438157.2755065,441.151
1719438168.604456,442.832
1719438181.0239782,443.5
1719438192.354864,444.398
1719438204.7722182,445.097
1719438217.189247,443.893
1719438218.2760391,443.448
1719438228.5181868,443.916
1719438238.7602165,443.912
1719438239.8471851,444.643
1719438250.0896676,444.553
1719438251.1766536,444.331
1719438262.5063124,444.188
1719438263.5934467,443.762
1719438274.9230983,443.501
1719438288.425521,443.969
1719438289.5123022,443.343
1719438300.84247,444.156
1719438313.2570517,444.91
1719438326.7587943,445.787
1719438337.0008316,446.14
1719438346.2101986,446.11
1719438354.386278,445.75
1719438366.8556645,445.351
1719438367.9427147,445.212
1719438379.4218247,445.676
1719438380.50874,445.936
1719438392.925937,447.155
1719438394.012971,446.746
1719438405.342765,447.341
1719438406.4297397,447.358
1719438416.6752837,446.92
1719438417.7624052,446.368
1719438431.2719154,448.866
1719438443.6905048,448.729
1719438455.0189145,447.679
1719438465.2612088,447.62
1719438473.3299556,448.366
1719438474.4168758,448.407
1719438484.7127862,448.879
1719438497.1819704,450.856
1719438498.2690048,450.53
1719438509.6518612,449.301
1719438510.7388222,450.547
1719438523.1545937,454.536
1719438524.2441175,452.618
1719438535.5730565,452.666
1719438536.6603768,451.868
1719438545.817024,451.456
1719438559.3223238,451.56
1719438560.4420445,452.345
1719438571.7387693,454.609
1719438583.0673857,454.788
1719438593.3121517,453.999
1719438605.6646864,453.824
1719438606.751643,453.831
1719438616.9934947,453.548
1719438629.4089346,453.69
1719438630.4960432,453.712
1719438643.9996736,458.064
1719438645.0865042,455.666
1719438657.503425,453.821
1719438658.5904045,453.105
1719438672.0962012,454.096
1719438684.5002525,456.996
1719438695.832431,456.349
1719438708.249879,457.349
1719438717.407396,458.892
1719438727.6504788,459.09
1719438742.2399774,459.83
1719438743.327074,459.976
1719438755.7962663,457.796
1719438768.212574,459.038
1719438769.299647,458.524
1719438780.630201,459.285
1719438794.1027482,458.766
1719438795.1897771,458.87
1719438804.3455734,458.706
1719438816.762687,459.927
1719438828.091819,460.833
1719438838.333979,461.784
1719438847.4899943,464.275
1719438859.907361,462.889
1719438860.9942532,463.225
1719438870.14965,461.828
1719438871.2367754,462.164
1719438881.4793856,461.339
1719438882.56644,461.006
1719438896.0693398,460.849
1719438897.156438,461.074
1719438910.6613045,454.818
1719438921.9898796,455.706
1719438923.076928,457.427
1719438934.406428,452.071
1719438947.8437688,455.548
1719438960.2595522,452.352
1719438970.505976,454.135
1719438971.592897,454.321
1719438981.89166,456.007
1719438994.309174,457.809
1719438995.39626,458.264
1719439004.6058953,459.74
1719439005.692853,460.908
1719439015.9353898,460.636
1719439017.0224712,459.86
1719439030.527982,455.762
1719439031.6146734,456.447
1719439041.857824,457.404
1719439042.9449472,457.146
1719439054.275777,456.201
1719439055.362893,455.856
1719439066.747425,457.753
1719439080.2516966,457.168
1719439081.397854,456.889
1719439092.6684415,459.111
1719439102.9140384,460.559
1719439104.001096,460.832
1719439114.2436702,461.567
1719439126.7134662,463.105
1719439127.800478,463.474
1719439139.1304584,461.979
1719439140.2175882,461.707
1719439150.5154452,461.658
