x,y
1719436930.475188,321.018
1719436941.8040864,321.879
1719436954.2198932,321.0
1719436955.306993,321.003
1719436968.811886,321.043
1719436969.8988905,321.15
1719436983.4008465,320.482
1719436994.7838888,320.987
1719437005.0791526,320.623
1719437015.3212583,321.078
1719437016.4082255,320.897
1719437025.5642314,320.762
1719437037.9802594,320.516
1719437048.2228365,319.553
1719437049.3097844,319.256
1719437060.638675,318.183
1719437061.7453246,318.213
1719437073.1081338,317.15
1719437085.5241926,317.101
1719437086.611177,317.025
1719437095.767044,317.431
1719437096.8542163,317.482
1719437110.3569214,316.041
1719437123.8390396,315.082
1719437134.0842144,314.424
1719437144.329122,314.255
1719437145.4162054,313.887
1719437154.6256566,314.243
1719437164.9212034,313.46
1719437175.163504,313.705
1719437176.2505448,313.4
1719437189.759395,312.4
1719437190.8989933,312.387
1719437202.175395,312.401
1719437212.418246,313.284
1719437213.5053089,313.5
1719437224.836098,313.83
1719437225.942705,313.823
1719437239.4261508,313.695
1719437249.6680095,314.302
1719437250.7549562,314.503
1719437259.91097,313.983
1719437260.9978063,313.729
1719437271.3469057,312.988
1719437272.4339457,313.374
1719437281.5905273,313.474
1719437291.8324814,314.24
1719437304.3025846,314.994
1719437305.3895671,315.083
1719437316.7192206,313.991
1719437317.8653066,314.058
1719437327.0163074,313.687
1719437339.4330952,314.585
1719437340.5201974,314.676
1719437349.7291152,313.744
1719437350.816207,313.552
1719437362.145724,314.97
1719437372.38827,315.285
1719437373.4753582,315.483
1719437385.8525178,315.628
1719437398.2683344,314.363
1719437399.3551672,314.712
1719437410.685064,314.571
1719437420.9267955,315.405
1719437431.1688695,315.285
1719437432.2558265,315.141
1719437443.5848026,314.849
1719437453.827035,315.04
1719437466.2430096,315.504
1719437467.3300157,315.646
1719437476.539513,315.242
1719437477.626562,314.755
1719437488.9553664,314.859
1719437501.3736374,314.517
1719437502.4605594,314.196
1719437514.878818,313.358
1719437527.2947078,313.313
1719437528.3818166,313.133
1719437539.7113116,312.986
1719437549.9544284,313.291
1719437560.1967323,312.861
1719437561.2838075,312.683
1719437570.495653,312.226
1719437580.7397823,312.223
1719437593.1552722,312.039
1719437594.2422135,312.168
1719437607.745068,312.093
1719437620.161614,312.76
1719437630.403646,313.486
1719437631.4907446,313.896
1719437643.8422687,314.176
1719437644.9292405,313.986
1719437654.1382525,314.179
1719437655.2252903,313.896
1719437668.7816937,314.229
1719437679.0243227,314.774
1719437689.3204665,314.606
1719437690.408079,314.118
1719437699.5652664,314.798
1719437709.8088229,314.704
1719437724.3980627,314.212
1719437725.4852324,314.362
1719437740.077115,314.409
1719437741.1641548,314.399
1719437754.6687255,314.77
1719437755.7557924,315.069
1719437767.0858276,314.712
1719437777.3275468,315.078
1719437778.4144194,315.446
1719437789.7430382,316.15
1719437790.8300676,316.308
1719437802.2135112,317.109
1719437810.2818053,317.063
1719437811.3693137,317.09
1719437822.699245,317.978
1719437823.7861826,318.12
1719437838.3092203,318.032
1719437839.396276,318.199
1719437850.7262027,318.223
1719437865.31528,317.357
1719437877.7848349,316.902
1719437878.8717864,316.933
1719437888.0277526,317.176
1719437900.4433208,316.832
1719437912.858888,316.817
1719437913.9459047,316.502
1719437923.101472,315.925
1719437924.2280672,315.723
1719437936.6061857,314.958
1719437937.6933646,315.017
1719437946.9037504,314.689
1719437957.1460223,314.009
1719437969.5633385,314.135
1719437970.6502686,314.144
1719437984.1536033,314.714
1719437996.569878,314.913
1719438008.9858265,315.851
1719438010.0728936,315.921
1719438021.4020956,316.329
1719438034.8881185,316.333
1719438035.975254,316.415
1719438047.3037174,316.394
1719438057.5481138,316.347
1719438067.8441436,316.67
1719438068.931238,316.676
1719438080.261341,317.845
1719438092.677605,318.076
1719438102.975855,317.752
1719438104.06292,317.666
1719438115.3920133,317.88
1719438125.6888394,318.633
1719438138.1071146,318.846
1719438139.1941547,318.837
1719438151.6635146,318.885
1719438164.0593505,318.63
1719438165.1463585,318.443
1719438176.4788582,317.996
1719438186.7222605,318.803
1719438199.139742,318.672
1719438200.2267485,318.436
1719438211.5573716,318.303
1719438223.9733872,318.685
1719438234.2153378,318.889
1719438235.3024848,319.144
1719438246.6316657,319.551
1719438256.8739104,318.821
1719438270.3779876,318.992
1719438282.793979,319.749
1719438283.8809743,320.029
1719438295.2099853,320.49
1719438296.2970097,320.49
1719438307.6260211,321.213
1719438320.0407636,321.881
1719438321.127554,321.584
1719438332.4558506,321.444
1719438333.542868,321.346
1719438342.7521095,320.466
1719438350.8208692,320.516
1719438361.170323,319.722
1719438362.2575486,319.52
1719438374.7671914,320.348
1719438375.8543456,320.565
1719438387.2938282,320.399
1719438388.3809793,320.275
1719438401.884472,320.269
1719438412.1275208,320.211
1719438413.217323,320.464
1719438424.5475464,321.545
1719438425.6344514,321.287
1719438439.142993,321.933
1719438449.3870564,322.232
1719438450.4740105,322.353
1719438459.6294088,321.99
1719438460.7164657,322.209
1719438469.8721411,321.91
1719438480.1138918,322.194
1719438491.550606,321.568
1719438504.02032,321.153
1719438505.107438,321.395
1719438518.6097777,321.261
1719438519.696823,321.006
1719438531.028148,321.379
1719438541.2720542,321.592
1719438542.3590765,321.775
1719438553.6881902,321.708
1719438554.775208,322.066
